brand,product_name,rating,review_title,review_body,review_text,review_date,source_file,source_sheet,source_review_id,voc_tags,voc_tag_count,sentiment,matched_keywords
Unknown,Aaisha Faux Leather Armchair,5.0,,Gorgeous! Just as pictured like the original mcm staple design,Gorgeous! Just as pictured like the original mcm staple design,2025-05-15,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,150328508,外观审美; 艺术感/收藏感; 照片与实物差异,3,正向,"外观审美: gorgeous, design | 艺术感/收藏感: mcm | 照片与实物差异: as pictured, as pictured, just as pictured"
Unknown,Aaisha Faux Leather Armchair,5.0,,Exactly as expected. Love my chairs,Exactly as expected. Love my chairs,2025-03-24,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,146543595,情绪价值; 照片与实物差异,2,正向,"情绪价值: love | 照片与实物差异: expected, as expected"
Unknown,Aaisha Faux Leather Armchair,5.0,,Beautiful chair but rather uncomfortable. It looks great for a dupe!,Beautiful chair but rather uncomfortable. It looks great for a dupe!,2025-03-05,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,144453765,外观审美; 舒适度/实用性,2,正向,"外观审美: beautiful, looks | 舒适度/实用性: uncomfortable"
Unknown,Aaisha Faux Leather Armchair,5.0,,"Absolutely PERFECT!! I got this chair for a statement piece in my studio and it’s such a showstopper. Not the most comfortable as the recline is pretty laid back, but i love how it looks","Absolutely PERFECT!! I got this chair for a statement piece in my studio and it’s such a showstopper. Not the most comfortable as the recline is pretty laid back, but i love how it looks",2025-03-04,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,144413892,外观审美; 艺术感/收藏感; 舒适度/实用性; 情绪价值,4,正向,"外观审美: pretty, looks | 艺术感/收藏感: statement, statement piece, showstopper | 舒适度/实用性: comfortable | 情绪价值: love, perfect"
Unknown,Aaisha Faux Leather Armchair,5.0,,"Excellent quality, excellent promp shipping. Recommend","Excellent quality, excellent promp shipping. Recommend",2025-02-23,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,144053345,做工质量; 物流包装; 情绪价值,3,正向,做工质量: quality | 物流包装: shipping | 情绪价值: recommend
Unknown,Aaisha Faux Leather Armchair,5.0,,Love this chair! My sister bought one and I bought her the second as a bday present. Pretty sturdy and looks great. Highly recommend if you’re looking for this kind of style.,Love this chair! My sister bought one and I bought her the second as a bday present. Pretty sturdy and looks great. Highly recommend if you’re looking for this kind of style.,2024-12-03,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,138621937,外观审美; 做工质量; 情绪价值,3,正向,"外观审美: pretty, looks | 做工质量: sturdy | 情绪价值: love, recommend"
Unknown,Aaisha Faux Leather Armchair,5.0,,If I could give more than a 5 star rating I surely would. These (I purchased two) are a mid century looking perfect addition to my living room. My guests always comment on their striking design!,If I could give more than a 5 star rating I surely would. These (I purchased two) are a mid century looking perfect addition to my living room. My guests always comment on their striking design!,2024-11-23,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,138044792,外观审美; 艺术感/收藏感; 尺寸与空间适配; 情绪价值,4,正向,外观审美: design | 艺术感/收藏感: mid century | 尺寸与空间适配: room | 情绪价值: perfect
Unknown,Aaisha Faux Leather Armchair,5.0,,"Beautiful looking chair. Ultra modern. Not really comfortable for long seating, however.","Beautiful looking chair. Ultra modern. Not really comfortable for long seating, however.",2024-10-01,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,135124211,外观审美; 舒适度/实用性,2,正向,"外观审美: beautiful, modern | 舒适度/实用性: comfortable"
Unknown,Aaisha Faux Leather Armchair,4.0,,A fun occasional chair that adds an edgy element. More substantial than expected and a good weight. The leather is a touch stiff at the moment but may soften with use and the chair is generally comfortable to sit in.,A fun occasional chair that adds an edgy element. More substantial than expected and a good weight. The leather is a touch stiff at the moment but may soften with use and the chair is generally comfortable to sit in.,2024-09-09,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,133746132,材质质感; 舒适度/实用性; 照片与实物差异,3,正向,"材质质感: leather | 舒适度/实用性: comfortable, sit, use | 照片与实物差异: expected, than expected"
Unknown,Aaisha Faux Leather Armchair,5.0,,Amazing and perfect for my day to photo studio,Amazing and perfect for my day to photo studio,2024-07-01,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,130686354,情绪价值; 照片与实物差异,2,正向,"情绪价值: amazing, perfect | 照片与实物差异: photo"
Unknown,Aaisha Faux Leather Armchair,3.0,,"I purchased two of these in the white version. The chairs look great in my living room as accent chairs. They are very stylish and sleek-looking. One of the chairs arrived bent. So, it wobbles a bit when someone sits in it or touch it. I had to place something under one of the legs to keep it from wobbling.","I purchased two of these in the white version. The chairs look great in my living room as accent chairs. They are very stylish and sleek-looking. One of the chairs arrived bent. So, it wobbles a bit when someone sits in it or touch it. I had to place something under one of the legs to keep it from wobbling.",2024-06-06,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,129494813,外观审美; 尺寸与空间适配; 物流包装,3,正向,"外观审美: stylish, look, sleek | 尺寸与空间适配: room | 物流包装: arrived"
Unknown,Aaisha Faux Leather Armchair,1.0,,Never buy this chair. The chair is rusty.,Never buy this chair. The chair is rusty.,2024-02-26,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,123899725,价格价值感,1,负向,价格价值感: buy
Unknown,Aaisha Faux Leather Armchair,5.0,,"Todo maravilloso! La silla el embalaje, la entrega! Muy satisfecha!","Todo maravilloso! La silla el embalaje, la entrega! Muy satisfecha!",2024-02-24,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,123811664,未归类,1,正向,
Unknown,Aaisha Faux Leather Armchair,4.0,,Absolutely stellar chair! Giving this a 4 due to it being a bit warped (I imagine this is because of shippinghandling. This chair comes assembled and in minimal packaging). I was able to get it back in shape however. Great Wassily dupe. Would recommend.,Absolutely stellar chair! Giving this a 4 due to it being a bit warped (I imagine this is because of shippinghandling. This chair comes assembled and in minimal packaging). I was able to get it back in shape however. Great Wassily dupe. Would recommend.,2024-02-21,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,123693277,艺术感/收藏感; 物流包装; 安装体验; 情绪价值,4,正向,艺术感/收藏感: wassily | 物流包装: packaging | 安装体验: assembled | 情绪价值: recommend
Unknown,Aaisha Faux Leather Armchair,5.0,,Beautiful and perfect. Came pre assembled too....,Beautiful and perfect. Came pre assembled too....,2024-01-12,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,121448700,外观审美; 安装体验; 情绪价值,3,正向,外观审美: beautiful | 安装体验: assembled | 情绪价值: perfect
Unknown,Aaisha Faux Leather Armchair,5.0,,We love this chair so much ! Love the way it looks in our living room,We love this chair so much ! Love the way it looks in our living room,2023-08-25,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,113976743,外观审美; 尺寸与空间适配; 情绪价值,3,正向,外观审美: looks | 尺寸与空间适配: room | 情绪价值: love
Unknown,Aaisha Faux Leather Armchair,5.0,,Modern looking and very sturdy. Seat is very firm so I use a thin cushion to add some padding. Otherwise am happy with it,Modern looking and very sturdy. Seat is very firm so I use a thin cushion to add some padding. Otherwise am happy with it,2023-08-06,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,112865995,外观审美; 做工质量; 舒适度/实用性; 情绪价值,4,正向,"外观审美: modern | 做工质量: sturdy | 舒适度/实用性: seat, firm, use | 情绪价值: happy"
Unknown,Aaisha Faux Leather Armchair,5.0,,Beautiful chairs. I appreciate the design history these chairs represent. These are excellent replicas of the Knoll original. Excellent quality for the price.,Beautiful chairs. I appreciate the design history these chairs represent. These are excellent replicas of the Knoll original. Excellent quality for the price.,2023-08-05,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,112822800,外观审美; 做工质量; 价格价值感,3,正向,"外观审美: beautiful, design | 做工质量: quality | 价格价值感: price"
Unknown,Aaisha Faux Leather Armchair,5.0,,This is absolutely gorgeous!! I saw this in an the home of someone online. I loved what I saw and purchased it! I’m thinking of buying another one.,This is absolutely gorgeous!! I saw this in an the home of someone online. I loved what I saw and purchased it! I’m thinking of buying another one.,2023-07-22,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,112109520,外观审美,1,正向,外观审美: gorgeous
Unknown,Aaisha Faux Leather Armchair,5.0,,Very comfortable brightens the room,Very comfortable brightens the room,2023-07-17,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,111809267,尺寸与空间适配; 舒适度/实用性,2,正向,尺寸与空间适配: room | 舒适度/实用性: comfortable
Unknown,Aaisha Faux Leather Armchair,1.0,,"Might want to beware. While the product is fully assembled, mine was delivered in a box that was in horrible condition---and the chair was only wrapped in a single piece of plastic film. Others mentioned how well they were packed--I'll assume mine was a previous return or some leftover. As well, after only having it in the living room for a week---the 'stainless steel' is already flaking off. Extremely disappointing since there is basically no way to return or exchange.","Might want to beware. While the product is fully assembled, mine was delivered in a box that was in horrible condition---and the chair was only wrapped in a single piece of plastic film. Others mentioned how well they were packed--I'll assume mine was a previous return or some leftover. As well, after only having it in the living room for a week---the 'stainless steel' is already flaking off. Extremely disappointing since there is basically no way to return or exchange.",2023-05-14,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,108755639,材质质感; 尺寸与空间适配; 物流包装; 安装体验,4,负向,"材质质感: plastic | 尺寸与空间适配: room | 物流包装: box, delivered | 安装体验: assembled"
Unknown,Aaisha Faux Leather Armchair,5.0,,"Saw this chair (or a version of it) all over TikTok and fell in love. It arrived quickly and fully assembled. It's so much more comfortable than you would think, and with a pillow behind your back to help you sit up a bit, it serves as an extra chair for the dining table.","Saw this chair (or a version of it) all over TikTok and fell in love. It arrived quickly and fully assembled. It's so much more comfortable than you would think, and with a pillow behind your back to help you sit up a bit, it serves as an extra chair for the dining table.",2022-11-18,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,101336803,舒适度/实用性; 物流包装; 安装体验; 情绪价值,4,正向,"舒适度/实用性: comfortable, sit | 物流包装: arrived | 安装体验: assembled | 情绪价值: love"
Unknown,Aaisha Faux Leather Armchair,5.0,,"Such an amazing, comfy chair! So perfect!","Such an amazing, comfy chair! So perfect!",2022-10-30,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,100322796,舒适度/实用性; 情绪价值,2,正向,"舒适度/实用性: comfy | 情绪价值: amazing, perfect"
Unknown,Aaisha Faux Leather Armchair,5.0,,chair came fully assembled and is well crafted. Hardly could tell the difference to the actual wassily chair.,chair came fully assembled and is well crafted. Hardly could tell the difference to the actual wassily chair.,2022-08-17,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,97613462,艺术感/收藏感; 安装体验; 照片与实物差异,3,正向,艺术感/收藏感: wassily | 安装体验: assembled | 照片与实物差异: actual
Unknown,Aaisha Faux Leather Armchair,1.0,,"I was excited about the design, but then saw the left side leg is bent inward - throwing off the beauty of the design and literally making it not sit evenly on my floor.","I was excited about the design, but then saw the left side leg is bent inward - throwing off the beauty of the design and literally making it not sit evenly on my floor.",2022-07-25,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,96645366,外观审美; 舒适度/实用性; 情绪价值,3,负向,外观审美: design | 舒适度/实用性: sit | 情绪价值: excited
Unknown,Aaisha Faux Leather Armchair,4.0,,"The chair is pretty well done, the details are impeccable. It really is a fancy and chic piece. I just didn’t give a 5 stars because it could be a lit","The chair is pretty well done, the details are impeccable. It really is a fancy and chic piece. I just didn’t give a 5 stars because it could be a lit",2022-01-16,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,88775652,外观审美,1,正向,外观审美: pretty
Unknown,Aaisha Faux Leather Armchair,5.0,,Beautiful!! Looks great on my living room wall.,Beautiful!! Looks great on my living room wall.,2021-03-31,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,69405621,外观审美; 尺寸与空间适配,2,正向,"外观审美: beautiful, looks | 尺寸与空间适配: room"
Unknown,Aaisha Faux Leather Armchair,5.0,,"Although nowhere near the original, for the price it is a decent product. Looks very nice.","Although nowhere near the original, for the price it is a decent product. Looks very nice.",2020-07-18,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,55732832,外观审美; 价格价值感,2,正向,外观审美: looks | 价格价值感: price
Unknown,Aaisha Faux Leather Armchair,5.0,,Love this chair! The stitching looks amazing over the dart leather and it gives my living room an elegant touch. I am considering getting a second one!,Love this chair! The stitching looks amazing over the dart leather and it gives my living room an elegant touch. I am considering getting a second one!,2020-06-29,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,54347239,外观审美; 材质质感; 尺寸与空间适配; 情绪价值,4,正向,"外观审美: looks | 材质质感: leather | 尺寸与空间适配: room | 情绪价值: love, amazing"
Unknown,Aaisha Faux Leather Armchair,5.0,,Love this chair. Comfortable and most importantly looks more expensive than it actually costs.,Love this chair. Comfortable and most importantly looks more expensive than it actually costs.,2020-06-15,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,53254533,外观审美; 舒适度/实用性; 价格价值感; 情绪价值,4,正向,外观审美: looks | 舒适度/实用性: comfortable | 价格价值感: expensive | 情绪价值: love
Unknown,Aaisha Faux Leather Armchair,5.0,,"Great chair aesthetically, a little rigged and the stitching is a cream color so it contrasts with the black . super easy to color black with a fabric marker . also take into consideration if you’re a bigger person sigh wide legs not much room side to side .","Great chair aesthetically, a little rigged and the stitching is a cream color so it contrasts with the black . super easy to color black with a fabric marker . also take into consideration if you’re a bigger person sigh wide legs not much room side to side .",2020-06-06,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,52625413,外观审美; 材质质感; 尺寸与空间适配,3,正向,"外观审美: color | 材质质感: fabric | 尺寸与空间适配: wide, room, little, bigger"
Unknown,Aaisha Faux Leather Armchair,5.0,,SO BEAUTIFUL! Seriously love this chair. Its more for style then comfort but perfect office chair.,SO BEAUTIFUL! Seriously love this chair. Its more for style then comfort but perfect office chair.,2020-06-04,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,52496003,外观审美; 舒适度/实用性; 情绪价值,3,正向,"外观审美: beautiful | 舒适度/实用性: comfort | 情绪价值: love, perfect"
Unknown,Aaisha Faux Leather Armchair,5.0,,So stylish and very comfortable,So stylish and very comfortable,2020-06-02,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,52314869,外观审美; 舒适度/实用性,2,正向,外观审美: stylish | 舒适度/实用性: comfortable
Unknown,Aaisha Faux Leather Armchair,5.0,,These chairs are just perfect. The size. The quality. The craftsmanship!!!!! I love them so much I’m keeping them and ordering another two for the loft I originally ordered these for.,These chairs are just perfect. The size. The quality. The craftsmanship!!!!! I love them so much I’m keeping them and ordering another two for the loft I originally ordered these for.,2020-02-11,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,45272937,做工质量; 尺寸与空间适配; 情绪价值,3,正向,"做工质量: quality, craftsmanship | 尺寸与空间适配: size | 情绪价值: love, perfect"
Unknown,Aaisha Faux Leather Armchair,5.0,,Gift for a friend- she loved it. Comfortable and really spiced up the living room,Gift for a friend- she loved it. Comfortable and really spiced up the living room,2019-12-29,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,43696780,尺寸与空间适配; 舒适度/实用性,2,正向,尺寸与空间适配: room | 舒适度/实用性: comfortable
Unknown,Aaisha Faux Leather Armchair,5.0,,"Great chair, well made and preassembled!","Great chair, well made and preassembled!",2019-09-04,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,38393554,做工质量,1,正向,做工质量: well made
Unknown,Aaisha Faux Leather Armchair,5.0,,"I love, love, love these chairs! The comfort works for me, but the best thing is that they give the illusion of not taking up space, just what I needed.","I love, love, love these chairs! The comfort works for me, but the best thing is that they give the illusion of not taking up space, just what I needed.",2018-10-19,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,24877528,尺寸与空间适配; 舒适度/实用性; 情绪价值,3,正向,尺寸与空间适配: space | 舒适度/实用性: comfort | 情绪价值: love
Unknown,Aaisha Faux Leather Armchair,5.0,,Amazing chair! It comes assembled!,Amazing chair! It comes assembled!,2018-08-12,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,23035771,安装体验; 情绪价值,2,正向,安装体验: assembled | 情绪价值: amazing
Unknown,Aaisha Faux Leather Armchair,2.0,,White is actually ivory... so returning the items!,White is actually ivory... so returning the items!,2018-06-08,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,21443787,未归类,1,负向,
Unknown,Aaisha Faux Leather Armchair,5.0,,BEAUTIFUL! Stylish and comfort!!!! Great chairs!!,BEAUTIFUL! Stylish and comfort!!!! Great chairs!!,2018-05-01,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,19868250,外观审美; 舒适度/实用性,2,正向,"外观审美: beautiful, stylish | 舒适度/实用性: comfort"
Unknown,Aaisha Faux Leather Armchair,1.0,,The chair arrived poorly packaged. No padding or foam whatsoever. Absolutely scuffed and destroyed. Not sure this was UPS's doing or the manufacturere's poor packing.,The chair arrived poorly packaged. No padding or foam whatsoever. Absolutely scuffed and destroyed. Not sure this was UPS's doing or the manufacturere's poor packing.,2018-04-23,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,19592330,物流包装,1,负向,"物流包装: arrived, packaged"
Unknown,Aaisha Faux Leather Armchair,5.0,,"great looking repro of the classic chair. Love these, and the bonded leather is a gorgeous nude color that is really neutral but sexy!","great looking repro of the classic chair. Love these, and the bonded leather is a gorgeous nude color that is really neutral but sexy!",2018-02-08,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,17732981,外观审美; 艺术感/收藏感; 材质质感; 情绪价值,4,正向,"外观审美: gorgeous, color | 艺术感/收藏感: classic | 材质质感: leather | 情绪价值: love"
Unknown,Aaisha Faux Leather Armchair,5.0,,perfect chair. Looks awesome in my office.,perfect chair. Looks awesome in my office.,2018-01-10,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,16924501,外观审美; 情绪价值,2,正向,外观审美: looks | 情绪价值: perfect
Unknown,Aaisha Faux Leather Armchair,5.0,,Absolutely love these chairs. They look very expensive and everyone wants to know where I got them.,Absolutely love these chairs. They look very expensive and everyone wants to know where I got them.,2017-10-25,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,15042396,外观审美; 价格价值感; 情绪价值,3,正向,外观审美: look | 价格价值感: expensive | 情绪价值: love
Unknown,Aaisha Faux Leather Armchair,5.0,,nice chairs. looks just like originals except for 1/10 of the price. very happy with purchase.,nice chairs. looks just like originals except for 1/10 of the price. very happy with purchase.,2017-09-05,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,13982251,外观审美; 价格价值感; 情绪价值,3,正向,"外观审美: looks | 价格价值感: price, purchase | 情绪价值: happy"
Unknown,Aaisha Faux Leather Armchair,4.0,,Excellent - fulfilled my expextations,Excellent - fulfilled my expextations,2017-07-31,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,13193677,照片与实物差异,1,正向,照片与实物差异: expextations
Unknown,Aaisha Faux Leather Armchair,3.0,,The chair is beautiful unfortunately there is a plastic piece in the front where there should be silver. I do love the chair and I will be ordering another. Fingers crossed that it doesn't ship with this flaw.,The chair is beautiful unfortunately there is a plastic piece in the front where there should be silver. I do love the chair and I will be ordering another. Fingers crossed that it doesn't ship with this flaw.,2017-04-16,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,11331600,外观审美; 材质质感; 情绪价值,3,正向,外观审美: beautiful | 材质质感: plastic | 情绪价值: love
Unknown,Aaisha Faux Leather Armchair,5.0,,"Looks great, comfortable, and sturdy!","Looks great, comfortable, and sturdy!",2020-10-21,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,60939224,外观审美; 做工质量; 舒适度/实用性,3,正向,外观审美: looks | 做工质量: sturdy | 舒适度/实用性: comfortable
Unknown,Aaisha Faux Leather Armchair,5.0,,"Great quality, I can not believe how well made and how rich and sophisticated these chairs look, my only regret is not buying only two...","Great quality, I can not believe how well made and how rich and sophisticated these chairs look, my only regret is not buying only two...",2019-02-12,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,28987300,外观审美; 做工质量,2,正向,"外观审美: look | 做工质量: quality, well made"
Unknown,Aaisha Faux Leather Armchair,5.0,,Love it. Looks and sits like the real thing.,Love it. Looks and sits like the real thing.,2017-12-20,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,16433653,外观审美; 情绪价值,2,正向,外观审美: looks | 情绪价值: love
Unknown,Aaisha Faux Leather Armchair,5.0,,Amazing look and quality My client love the chair and very comfortable,Amazing look and quality My client love the chair and very comfortable,2024-01-08,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,121248218,外观审美; 做工质量; 舒适度/实用性; 情绪价值,4,正向,"外观审美: look | 做工质量: quality | 舒适度/实用性: comfortable | 情绪价值: love, amazing"
Unknown,Aaisha Faux Leather Armchair,5.0,,It is exactly what I expected based on the pictures! The neutral tan color blends in well. The stitching also seems sturdy and matches the color of the chair.,It is exactly what I expected based on the pictures! The neutral tan color blends in well. The stitching also seems sturdy and matches the color of the chair.,2023-04-30,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,107864904,外观审美; 做工质量; 照片与实物差异,3,正向,"外观审美: color | 做工质量: sturdy | 照片与实物差异: expected, what i expected"
Unknown,Aaisha Faux Leather Armchair,5.0,,This chair looks amazing and quality is surprisingly great. It came in the box already assembled.,This chair looks amazing and quality is surprisingly great. It came in the box already assembled.,2023-01-15,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,103581789,外观审美; 做工质量; 物流包装; 安装体验; 情绪价值,5,正向,外观审美: looks | 做工质量: quality | 物流包装: box | 安装体验: assembled | 情绪价值: amazing
Unknown,Aaisha Faux Leather Armchair,2.0,,"It was not the same item, it had brown stitching on them and the chrome has","It was not the same item, it had brown stitching on them and the chrome has",2024-03-12,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,124547779,未归类,1,负向,
Unknown,Aaisha Faux Leather Armchair,5.0,,Great chair and comfortable. Very close to the original Wassily. The only thing that sucks is the contrast stitching. I saw a previous comment in here about someone going in with a pigment liner brush to change the colour of the stitching to make it closer to the original... so I've gone and done that and I'm pretty happy. Just requires a bit of elbow grease if you care about stuff like that.,Great chair and comfortable. Very close to the original Wassily. The only thing that sucks is the contrast stitching. I saw a previous comment in here about someone going in with a pigment liner brush to change the colour of the stitching to make it closer to the original... so I've gone and done that and I'm pretty happy. Just requires a bit of elbow grease if you care about stuff like that.,2022-12-06,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,102097637,外观审美; 艺术感/收藏感; 舒适度/实用性; 情绪价值,4,正向,外观审美: pretty | 艺术感/收藏感: wassily | 舒适度/实用性: comfortable | 情绪价值: happy
Unknown,Aaisha Faux Leather Armchair,5.0,,"The chair exceeded my expectations, and the delivery man was so polite and amazing I'm very pleased","The chair exceeded my expectations, and the delivery man was so polite and amazing I'm very pleased",2022-10-09,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,99423587,物流包装; 情绪价值; 照片与实物差异,3,正向,物流包装: delivery | 情绪价值: amazing | 照片与实物差异: exceeded my expectations
Unknown,Aaisha Faux Leather Armchair,2.0,,Beautiful piece but the leg came bent.,Beautiful piece but the leg came bent.,2022-09-30,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,99129133,外观审美,1,负向,外观审美: beautiful
